|No Origem|  |No destino|  |Distacia|
      9---------55     =      37
      9---------90     =      48
      9---------35     =      66
      9---------53     =      14
      9---------123     =      35
      9---------74     =      12
      9---------81     =      15
      9---------5     =      25
      9---------86     =      53
      9---------6     =      20
      9---------115     =      58
      9---------70     =      40
      9---------8     =      35
      9---------45     =      33
      9---------98     =      48
      9---------62     =      43
      9---------19     =      48
      9---------34     =      42
      9---------41     =      23
      9---------23     =      39
      9---------78     =      8
      9---------24     =      25
      9---------36     =      17
      9---------101     =      39
      9---------54     =      53
      9---------49     =      15
      9---------14     =      32
      113---------73     =      93
      113---------26     =      5
      113---------64     =      54
      113---------28     =      74
      113---------3     =      48
      113---------40     =      21
      113---------80    =      INF
      113---------44     =      106
      113---------120     =      32
      113---------79     =      73
      113---------103     =      30
      113---------121     =      52
      113---------12     =      61
      113---------63     =      28
      113---------75     =      37
      113---------9     =      78
      113---------113     =      0
      113---------10     =      39
      113---------50     =      51
      113---------100     =      68
      113---------25     =      2
      113---------39     =      22
      113---------116     =      51
      113---------20     =      69
      113---------66     =      33
      113---------72     =      59
      113---------38     =      37
      113---------51     =      57
      113---------29     =      21
      113---------92     =      23
      113---------65     =      31
      113---------102     =      27
      113---------33     =      27
      113---------112     =      34
      113---------18     =      17
      113---------108     =      42
      113---------46     =      36
      113---------124     =      37
      113---------37     =      44
      113---------104     =      39
      113---------88     =      87
      113---------7     =      18
      113---------97     =      55
      113---------22     =      73
      113---------0     =      11
      113---------58     =      29
      113---------1     =      44
      113---------110     =      27
      113---------11     =      87
      113---------105     =      34
      113---------122     =      27
      113---------76     =      46
      113---------27     =      26
      113---------89     =      14
      113---------119     =      11
      113---------30     =      63
      113---------107     =      29
      113---------85     =      3
      113---------21     =      42
      113---------71     =      21
      113---------67     =      4
      113---------48     =      18
      113---------42     =      45
      113---------43     =      21
      113---------99     =      39
      113---------15     =      47
      113---------2     =      67
      113---------68     =      40
      113---------114     =      14
      113---------111     =      28
      113---------82     =      27
      113---------52     =      25
      113---------118     =      28
      113---------16     =      37
      113---------32     =      5
      113---------31     =      5
      113---------57     =      46
      113---------69     =      37
      113---------96     =      2
      113---------117     =      38
      113---------106     =      42
      113---------93     =      44
      113---------60     =      32
      113---------13     =      8
      113---------56     =      42
      113---------17     =      35
      113---------84     =      41
      113---------95     =      54
      113---------61     =      53
      113---------77     =      4
      113---------109     =      19
      113---------47     =      55
      113---------4     =      27
      113---------91     =      17
      113---------83     =      70
      113---------59     =      3
      113---------87     =      14
      113---------94     =      43
      113---------55     =      40
      113---------90     =      34
      113---------35     =      57
      113---------53     =      44
      113---------123     =      42
      113---------74     =      21
      113---------81     =      22
      113---------5     =      32
      113---------86     =      52
      113---------6     =      49
      113---------115     =      4
      113---------70     =      15
      113---------8     =      9
      113---------45     =      45
      113---------98     =      54
      113---------62     =      17
      113---------19     =      42
      113---------34     =      38
      113---------41     =      40
      113---------23     =      20
      113---------78     =      33
      113---------24     =      6
      113---------36     =      19
      113---------101     =      3
      113---------54     =      39
      113---------49     =      31
      113---------14     =      38
      10---------73    =      INF
      10---------26    =      INF
      10---------64     =      39
      10---------28     =      69
      10---------3     =      34
      10---------40     =      87
      10---------80    =      INF
      10---------44     =      112
      10---------120     =      66
      10---------79     =      107
      10---------103     =      77
      10---------121     =      41
      10---------12     =      74
      10---------63     =      77
      10---------75     =      30
      10---------9     =      40
      10---------113     =      76
      10---------10     =      0
      10---------50     =      13
      10---------100     =      63
      10---------25     =      36
      10---------39     =      51
      10---------116     =      43
      10---------20     =      28
      10---------66     =      28
      10---------72     =      18
      10---------38     =      81
      10---------51     =      47
      10---------29     =      67
      10---------92     =      49
      10---------65     =      80
      10---------102     =      62
      10---------33     =      15
      10---------112     =      22
      10---------18     =      33
      10---------108     =      37
      10---------46     =      43
      10---------124     =      30
      10---------37     =      39
      10---------104     =      27
      10---------88     =      93
      10---------7     =      34
      10---------97     =      16
      10---------22     =      65
      10---------0     =      45
      10---------58     =      53
      10---------1     =      58
      10---------110     =      15
      10---------11     =      76
      10---------105     =      29
      10---------122     =      25
      10---------76     =      33
      10---------27     =      28
      10---------89     =      45
      10---------119     =      18
      10---------30     =      58
      10---------107     =      17
      10---------85     =      25
      10---------21     =      53
      10---------71     =      37
      10---------67     =      42
      10---------48     =      41
      10---------42     =      31
      10---------43     =      46
      10---------99     =      64
      10---------15     =      35
      10---------2     =      60
      10---------68     =      28
      10---------114     =      36
      10---------111     =      41
      10---------82     =      23
      10---------52     =      24
      10---------118     =      52
      10---------16     =      66
      10---------32     =      39
      10---------31     =      44
      10---------57     =      46
      10---------69     =      44
      10---------96     =      36
      10---------117     =      46
      10---------106     =      66
      10---------93     =      57
      10---------60     =      52
      10---------13     =      42
      10---------56     =      58
      10---------17     =      59
      10---------84     =      38
      10---------95     =      56
      10---------61     =      38
      10---------77     =      36
      10---------109     =      50
      10---------47     =      78
      10---------4     =      56
      10---------91     =      51
      10---------83     =      46
      10---------59     =      37
      10---------87     =      32
      10---------94     =      31
      10---------55     =      31
      10---------90     =      34
      10---------35     =      58
      10---------53     =      45
      10---------123     =      50
      10---------74     =      52
      10---------81     =      32
      10---------5     =      28
      10---------86     =      35
      10---------6     =      25
      10---------115     =      57
      10---------70     =      42
      10---------8     =      31
      10---------45     =      44
      10---------98     =      47
      10---------62     =      39
      10---------19     =      40
      10---------34     =      33
      10---------41     =      40
      10---------23     =      49
      10---------78     =      48
      10---------24     =      38
      10---------36     =      57
      10---------101     =      42
      10---------54     =      39
      10---------49     =      46
      10---------14     =      47
      50---------73     =      30
      50---------26     =      59
      50---------64     =      49
      50---------28     =      79
      50---------3     =      28
      50---------40     =      75
      50---------80     =      144
      50---------44     =      80
      50---------120     =      44
      50---------79     =      63
      50---------103     =      78
      50---------121     =      71
      50---------12     =      103
      50---------63     =      31
      50---------75     =      74
      50---------9     =      92
      50---------113     =      92
      50---------10     =      93
      50---------50     =      0
      50---------100     =      64
      50---------25     =      30
      50---------39     =      40
      50---------116     =      54
      50---------20     =      22
      50---------66     =      22
      50---------72     =      12
      50---------38     =      66
      50---------51     =      53
      50---------29     =      61
      50---------92     =      43
      50---------65     =      45
      50---------102     =      32
      50---------33     =      64
      50---------112     =      71
      50---------18     =      20
      50---------108     =      41
      50---------46     =      47
      50---------124     =      64
      50---------37     =      33
      50---------104     =      76
      50---------88     =      46
      50---------7     =      21
      50---------97     =      10
      50---------22     =      35
      50---------0     =      39
      50---------58     =      57
      50---------1     =      49
      50---------110     =      28
      50---------11     =      60
      50---------105     =      23
      50---------122     =      19
      50---------76     =      20
      50---------27     =      43
      50---------89     =      42
      50---------119     =      22
      50---------30     =      52
      50---------107     =      28
      50---------85     =      19
      50---------21     =      64
      50---------71     =      24
      50---------67     =      64
      50---------48     =      28
      50---------42     =      56
      50---------43     =      35
      50---------99     =      53
      50---------15     =      60
      50---------2     =      64
      50---------68     =      57
      50---------114     =      30
      50---------111     =      44
      50---------82     =      17
      50---------52     =      18
      50---------118     =      29
      50---------16     =      55
      50---------32     =      33
      50---------31     =      38
      50---------57     =      40
      50---------69     =      44
      50---------96     =      30
      50---------117     =      40
      50---------106     =      64
      50---------93     =      44
      50---------60     =      42
      50---------13     =      48
      50---------56     =      52
      50---------17     =      49
      50---------84     =      61
      50---------95     =      71
      50---------61     =      71
      50---------77     =      30
      50---------109     =      47
      50---------47     =      72
      50---------4     =      43
      50---------91     =      45
      50---------83     =      35
      50---------59     =      31
      50---------87     =      44
      50---------94     =      26
      50---------55     =      25
      50---------90     =      28
      50---------35     =      57
      50---------53     =      51
      50---------123     =      44
      50---------74     =      49
      50---------81     =      50
      50---------5     =      22
      50---------86     =      22
      50---------6     =      75
      50---------115     =      59
      50---------70     =      43
      50---------8     =      25
      50---------45     =      34
      50---------98     =      58
      50---------62     =      33
      50---------19     =      58
      50---------34     =      27
      50---------41     =      62
      50---------23     =      45
      50---------78     =      47
      50---------24     =      32
      50---------36     =      48
      50---------101     =      36
      50---------54     =      33
      50---------49     =      40
      50---------14     =      41
      100---------73     =      136
      100---------26     =      26
      100---------64     =      75
      100---------28     =      95
      100---------3     =      70
      100---------40     =      42
      100---------80    =      INF
      100---------44     =      127
      100---------120     =      31
      100---------79     =      72
      100---------103     =      68
      100---------121     =      54
      100---------12     =      82
      100---------63     =      49
      100---------75     =      58
      100---------9     =      76
      100---------113     =      79
      100---------10     =      36
      100---------50     =      49
      100---------100     =      0
      100---------25     =      45
      100---------39     =      55
      100---------116     =      1
      100---------20     =      25
      100---------66     =      54
      100---------72     =      54
      100---------38     =      32
      100---------51     =      60
      100---------29     =      42
      100---------92     =      44
      100---------65     =      52
      100---------102     =      48
      100---------33     =      45
      100---------112     =      52
      100---------18     =      69
      100---------108     =      63
      100---------46     =      57
      100---------124     =      11
      100---------37     =      45
      100---------104     =      57
      100---------88     =      34
      100---------7     =      70
      100---------97     =      52
      100---------22     =      82
      100---------0     =      81
      100---------58     =      40
      100---------1     =      65
      100---------110     =      38
      100---------11     =      89
      100---------105     =      55
      100---------122     =      48
      100---------76     =      41
      100---------27     =      58
      100---------89     =      57
      100---------119     =      25
      100---------30     =      64
      100---------107     =      47
      100---------85     =      48
      100---------21     =      11
      100---------71     =      12
      100---------67     =      55
      100---------48     =      18
      100---------42     =      66
      100---------43     =      41
      100---------99     =      49
      100---------15     =      63
      100---------2     =      62
      100---------68     =      50
      100---------114     =      59
      100---------111     =      31
      100---------82     =      18
      100---------52     =      19
      100---------118     =      78
      100---------16     =      70
      100---------32     =      48
      100---------31     =      62
      100---------57     =      28
      100---------69     =      32
      100---------96     =      34
      100---------117     =      69
      100---------106     =      53
      100---------93     =      65
      100---------60     =      66
      100---------13     =      35
      100---------56     =      62
      100---------17     =      40
      100---------84     =      47
      100---------95     =      68
      100---------61     =      56
      100---------77     =      55
      100---------109     =      41
      100---------47     =      73
      100---------4     =      60
      100---------91     =      49
      100---------83     =      47
      100---------59     =      35
      100---------87     =      46
      100---------94     =      61
      100---------55     =      35
      100---------90     =      61
      100---------35     =      88
      100---------53     =      24
      100---------123     =      60
      100---------74     =      43
      100---------81     =      13
      100---------5     =      23
      100---------86     =      71
      100---------6     =      61
      100---------115     =      69
      100---------70     =      47
      100---------8     =      35
      100---------45     =      39
      100---------98     =      70
      100---------62     =      43
      100---------19     =      34
      100---------34     =      53
      100---------41     =      21
      100---------23     =      52
      100---------78     =      37
      100---------24     =      39
      100---------36     =      46
      100---------101     =      41
      100---------54     =      37
      100---------49     =      35
      100---------14     =      55
      25---------73    =      INF
      25---------26    =      INF
      25---------64     =      39
      25---------28     =      69
      25---------3     =      9
      25---------40     =      65
      25---------80    =      INF
      25---------44     =      77
      25---------120     =      41
      25---------79     =      82
      25---------103     =      60
      25---------121     =      12
      25---------12     =      57
      25---------63     =      48
      25---------75     =      57
      25---------9     =      73
      25---------113     =      84
      25---------10     =      40
      25---------50     =      25
      25---------100     =      48
      25---------25     =      0
      25---------39     =      20
      25---------116     =      9
      25---------20     =      29
      25---------66     =      47
      25---------72     =      19
      25---------38     =      57
      25---------51     =      18
      25---------29     =      41
      25---------92     =      43
      25---------65     =      51
      25---------102     =      47
      25---------33     =      47
      25---------112     =      54
      25---------18     =      26
      25---------108     =      51
      25---------46     =      52
      25---------124     =      19
      25---------37     =      53
      25---------104     =      59
      25---------88     =      68
      25---------7     =      27
      25---------97     =      17
      25---------22     =      52
      25---------0     =      20
      25---------58     =      36
      25---------1     =      23
      25---------110     =      12
      25---------11     =      47
      25---------105     =      46
      25---------122     =      26
      25---------76     =      38
      25---------27     =      60
      25---------89     =      12
      25---------119     =      29
      25---------30     =      72
      25---------107     =      46
      25---------85     =      10
      25---------21     =      19
      25---------71     =      20
      25---------67     =      13
      25---------48     =      26
      25---------42     =      61
      25---------43     =      19
      25---------99     =      37
      25---------15     =      10
      25---------2     =      70
      25---------68     =      58
      25---------114     =      21
      25---------111     =      35
      25---------82     =      24
      25---------52     =      25
      25---------118     =      37
      25---------16     =      35
      25---------32     =      3
      25---------31     =      20
      25---------57     =      36
      25---------69     =      40
      25---------96     =      11
      25---------117     =      36
      25---------106     =      49
      25---------93     =      69
      25---------60     =      45
      25---------13     =      17
      25---------56     =      40
      25---------17     =      33
      25---------84     =      51
      25---------95     =      64
      25---------61     =      21
      25---------77     =      13
      25---------109     =      17
      25---------47     =      53
      25---------4     =      25
      25---------91     =      26
      25---------83     =      46
      25---------59     =      12
      25---------87     =      25
      25---------94     =      33
      25---------55     =      32
      25---------90     =      34
      25---------35     =      55
      25---------53     =      47
      25---------123     =      31
      25---------74     =      30
      25---------81     =      21
      25---------5     =      29
      25---------86     =      39
      25---------6     =      58
      25---------115     =      65
      25---------70     =      24
      25---------8     =      16
      25---------45     =      45
      25---------98     =      61
      25---------62     =      24
      25---------19     =      49
      25---------34     =      36
      25---------41     =      29
      25---------23     =      36
      25---------78     =      31
      25---------24     =      15
      25---------36     =      34
      25---------101     =      34
      25---------54     =      39
      25---------49     =      29
      25---------14     =      51
      39---------73     =      102
      39---------26     =      23
      39---------64     =      72
      39---------28     =      73
      39---------3     =      57
      39---------40     =      39
      39---------80     =      101
      39---------44     =      57
      39---------120     =      30
      39---------79     =      71
      39---------103     =      48
      39---------121     =      70
      39---------12     =      53
      39---------63     =      46
      39---------75     =      19
      39---------9     =      49
      39---------113     =      78
      39---------10     =      57
      39---------50     =      33
      39---------100     =      52
      39---------25     =      44
      39---------39     =      0
      39---------116     =      52
      39---------20     =      31
      39---------66     =      51
      39---------72     =      45
      39---------38     =      55
      39---------51     =      62
      39---------29     =      39
      39---------92     =      41
      39---------65     =      49
      39---------102     =      45
      39---------33     =      45
      39---------112     =      52
      39---------18     =      53
      39---------108     =      38
      39---------46     =      44
      39---------124     =      55
      39---------37     =      60
      39---------104     =      21
      39---------88     =      79
      39---------7     =      39
      39---------97     =      43
      39---------22     =      58
      39---------0     =      64
      39---------58     =      59
      39---------1     =      42
      39---------110     =      45
      39---------11     =      85
      39---------105     =      51
      39---------122     =      45
      39---------76     =      53
      39---------27     =      58
      39---------89     =      29
      39---------119     =      31
      39---------30     =      79
      39---------107     =      47
      39---------85     =      45
      39---------21     =      62
      39---------71     =      47
      39---------67     =      57
      39---------48     =      61
      39---------42     =      11
      39---------43     =      36
      39---------99     =      54
      39---------15     =      29
      39---------2     =      49
      39---------68     =      50
      39---------114     =      56
      39---------111     =      52
      39---------82     =      50
      39---------52     =      21
      39---------118     =      25
      39---------16     =      15
      39---------32     =      47
      39---------31     =      30
      39---------57     =      31
      39---------69     =      35
      39---------96     =      23
      39---------117     =      16
      39---------106     =      17
      39---------93     =      47
      39---------60     =      41
      39---------13     =      30
      39---------56     =      47
      39---------17     =      50
      39---------84     =      31
      39---------95     =      63
      39---------61     =      40
      39---------77     =      53
      39---------109     =      34
      39---------47     =      12
      39---------4     =      5
      39---------91     =      38
      39---------83     =      55
      39---------59     =      24
      39---------87     =      21
      39---------94     =      25
      39---------55     =      29
      39---------90     =      17
      39---------35     =      43
      39---------53     =      42
      39---------123     =      14
      39---------74     =      42
      39---------81     =      43
      39---------5     =      20
      39---------86     =      48
      39---------6     =      59
      39---------115     =      52
      39---------70     =      35
      39---------8     =      45
      39---------45     =      41
      39---------98     =      56
      39---------62     =      53
      39---------19     =      34
      39---------34     =      28
      39---------41     =      55
      39---------23     =      59
      39---------78     =      48
      39---------24     =      41
      39---------36     =      33
      39---------101     =      62
      39---------54     =      22
      39---------49     =      9
      39---------14     =      42
      116---------73     =      20
      116---------26     =      49
      116---------64     =      19
      116---------28     =      49
      116---------3     =      54
      116---------40     =      65
      116---------80    =      INF
      116---------44     =      92
      116---------120     =      34
      116---------79     =      53
      116---------103     =      57
      116---------121     =      25
      116---------12     =      70
      116---------63     =      44
      116---------75     =      10
      116---------9     =      93
      116---------113     =      72
      116---------10     =      35
      116---------50     =      24
      116---------100     =      43
      116---------25     =      48
      116---------39     =      43
      116---------116     =      0
      116---------20     =      24
      116---------66     =      46
      116---------72     =      32
      116---------38     =      61
      116---------51     =      31
      116---------29     =      54
      116---------92     =      56
      116---------65     =      64
      116---------102     =      42
      116---------33     =      50
      116---------112     =      54
      116---------18     =      44
      116---------108     =      58
      116---------46     =      56
      116---------124     =      10
      116---------37     =      44
      116---------104     =      20
      116---------88     =      35
      116---------7     =      30
      116---------97     =      30
      116---------22     =      25
      116---------0     =      59
      116---------58     =      77
      116---------1     =      38
      116---------110     =      37
      116---------11     =      50
      116---------105     =      34
      116---------122     =      39
      116---------76     =      44
      116---------27     =      33
      116---------89     =      50
      116---------119     =      24
      116---------30     =      63
      116---------107     =      52
      116---------85     =      28
      116---------21     =      10
      116---------71     =      11
      116---------67     =      26
      116---------48     =      17
      116---------42     =      54
      116---------43     =      40
      116---------99     =      58
      116---------15     =      28
      116---------2     =      40
      116---------68     =      49
      116---------114     =      39
      116---------111     =      43
      116---------82     =      17
      116---------52     =      18
      116---------118     =      46
      116---------16     =      54
      116---------32     =      28
      116---------31     =      32
      116---------57     =      27
      116---------69     =      31
      116---------96     =      50
      116---------117     =      59
      116---------106     =      59
      116---------93     =      62
      116---------60     =      32
      116---------13     =      28
      116---------56     =      42
      116---------17     =      39
      116---------84     =      59
      116---------95     =      61
      116---------61     =      39
      116---------77     =      26
      116---------109     =      43
      116---------47     =      55
      116---------4     =      33
      116---------91     =      41
      116---------83     =      48
      116---------59     =      46
      116---------87     =      12
      116---------94     =      24
      116---------55     =      20
      116---------90     =      30
      116---------35     =      51
      116---------53     =      38
      116---------123     =      46
      116---------74     =      45
      116---------81     =      12
      116---------5     =      11
      116---------86     =      39
      116---------6     =      60
      116---------115     =      62
      116---------70     =      61
      116---------8     =      34
      116---------45     =      24
      116---------98     =      53
      116---------62     =      42
      116---------19     =      33
      116---------34     =      27
      116---------41     =      20
      116---------23     =      53
      116---------78     =      36
      116---------24     =      24
      116---------36     =      45
      116---------101     =      52
      116---------54     =      35
      116---------49     =      34
      116---------14     =      46
      20---------73     =      65
      20---------26     =      90
      20---------64     =      25
      20---------28     =      37
      20---------3     =      59
      20---------40     =      73
      20---------80     =      135
      20---------44     =      72
      20---------120     =      68
      20---------79     =      88
      20---------103     =      63
      20---------121     =      68
      20---------12     =      89
      20---------63     =      20
      20---------75     =      67
      20---------9     =      123
      20---------113     =      116
      20---------10     =      91
      20---------50     =      69
      20---------100     =      100
      20---------25     =      61
      20---------39     =      62
      20---------116     =      43
      20---------20     =      0
      20---------66     =      21
      20---------72     =      58
      20---------38     =      89
      20---------51     =      74
      20---------29     =      75
      20---------92     =      42
      20---------65     =      83
      20---------102     =      21
      20---------33     =      66
      20---------112     =      60
      20---------18     =      50
      20---------108     =      75
      20---------46     =      69
      20---------124     =      53
      20---------37     =      32
      20---------104     =      63
      20---------88     =      78
      20---------7     =      42
      20---------97     =      73
      20---------22     =      65
      20---------0     =      70
      20---------58     =      33
      20---------1     =      51
      20---------110     =      56
      20---------11     =      90
      20---------105     =      22
      20---------122     =      46
      20---------76     =      66
      20---------27     =      66
      20---------89     =      35
      20---------119     =      0
      20---------30     =      51
      20---------107     =      67
      20---------85     =      40
      20---------21     =      49
      20---------71     =      40
      20---------67     =      69
      20---------48     =      60
      20---------42     =      73
      20---------43     =      42
      20---------99     =      60
      20---------15     =      71
      20---------2     =      64
      20---------68     =      78
      20---------114     =      51
      20---------111     =      23
      20---------82     =      46
      20---------52     =      36
      20---------118     =      87
      20---------16     =      67
      20---------32     =      53
      20---------31     =      37
      20---------57     =      54
      20---------69     =      58
      20---------96     =      61
      20---------117     =      49
      20---------106     =      46
      20---------93     =      52
      20---------60     =      73
      20---------13     =      63
      20---------56     =      50
      20---------17     =      49
      20---------84     =      60
      20---------95     =      61
      20---------61     =      61
      20---------77     =      51
      20---------109     =      40
      20---------47     =      74
      20---------4     =      67
      20---------91     =      61
      20---------83     =      58
      20---------59     =      62
      20---------87     =      55
      20---------94     =      42
      20---------55     =      59
      20---------90     =      73
      20---------35     =      60
      20---------53     =      65
      20---------123     =      43
      20---------74     =      65
      20---------81     =      50
      20---------5     =      51
      20---------86     =      67
      20---------6     =      96
      20---------115     =      48
      20---------70     =      64
      20---------8     =      46
      20---------45     =      56
      20---------98     =      62
      20---------62     =      54
      20---------19     =      76
      20---------34     =      26
      20---------41     =      61
      20---------23     =      64
      20---------78     =      54
      20---------24     =      47
      20---------36     =      51
      20---------101     =      63
      20---------54     =      78
      20---------49     =      71
      20---------14     =      30
      66---------73     =      54
      66---------26     =      82
      66---------64     =      15
      66---------28     =      45
      66---------3     =      52
      66---------40     =      63
      66---------80     =      44
      66---------44     =      57
      66---------120     =      28
      66---------79     =      69
      66---------103     =      49
      66---------121     =      65
      66---------12     =      48
      66---------63     =      15
      66---------75     =      43
      66---------9     =      39
      66---------113     =      64
      66---------10     =      81
      66---------50     =      24
      66---------100     =      56
      66---------25     =      36
      66---------39     =      50
      66---------116     =      33
      66---------20     =      25
      66---------66     =      0
      66---------72     =      36
      66---------38     =      37
      66---------51     =      54
      66---------29     =      70
      66---------92     =      21
      66---------65     =      69
      66---------102     =      16
      66---------33     =      61
      66---------112     =      31
      66---------18     =      40
      66---------108     =      39
      66---------46     =      45
      66---------124     =      43
      66---------37     =      11
      66---------104     =      36
      66---------88     =      66
      66---------7     =      37
      66---------97     =      34
      66---------22     =      54
      66---------0     =      56
      66---------58     =      58
      66---------1     =      46
      66---------110     =      46
      66---------11     =      80
      66---------105     =      1
      66---------122     =      25
      66---------76     =      44
      66---------27     =      37
      66---------89     =      46
      66---------119     =      25
      66---------30     =      30
      66---------107     =      46
      66---------85     =      25
      66---------21     =      43
      66---------71     =      35
      66---------67     =      49
      66---------48     =      50
      66---------42     =      54
      66---------43     =      45
      66---------99     =      58
      66---------15     =      44
      66---------2     =      59
      66---------68     =      57
      66---------114     =      36
      66---------111     =      46
      66---------82     =      41
      66---------52     =      15
      66---------118     =      53
      66---------16     =      62
      66---------32     =      32
      66---------31     =      16
      66---------57     =      37
      66---------69     =      41
      66---------96     =      25
      66---------117     =      44
      66---------106     =      67
      66---------93     =      31
      66---------60     =      51
      66---------13     =      32
      66---------56     =      45
      66---------17     =      44
      66---------84     =      39
      66---------95     =      65
      66---------61     =      55
      66---------77     =      36
      66---------109     =      38
      66---------47     =      62
      66---------4     =      55
      66---------91     =      40
      66---------83     =      37
      66---------59     =      7
      66---------87     =      45
      66---------94     =      37
      66---------55     =      38
      66---------90     =      52
      66---------35     =      39
      66---------53     =      20
      66---------123     =      22
      66---------74     =      44
      66---------81     =      26
      66---------5     =      39
      66---------86     =      31
      66---------6     =      59
      66---------115     =      43
      66---------70     =      38
      66---------8     =      31
      66---------45     =      35
      66---------98     =      76
      66---------62     =      39
      66---------19     =      49
      66---------34     =      5
      66---------41     =      53
      66---------23     =      48
      66---------78     =      47
      66---------24     =      26
      66---------36     =      30
      66---------101     =      42
      66---------54     =      42
      66---------49     =      48
      66---------14     =      25
      72---------73     =      47
      72---------26     =      34
      72---------64     =      12
      72---------28     =      42
      72---------3     =      92
      72---------40     =      50
      72---------80    =      INF
      72---------44     =      97
      72---------120     =      61
      72---------79     =      80
      72---------103     =      50
      72---------121     =      56
      72---------12     =      70
      72---------63     =      57
      72---------75     =      39
      72---------9     =      108
      72---------113     =      101
      72---------10     =      68
      72---------50     =      53
      72---------100     =      72
      72---------25     =      75
      72---------39     =      70
      72---------116     =      30
      72---------20     =      54
      72---------66     =      57
      72---------72     =      0
      72---------38     =      66
      72---------51     =      61
      72---------29     =      50
      72---------92     =      52
      72---------65     =      60
      72---------102     =      56
      72---------33     =      56
      72---------112     =      47
      72---------18     =      37
      72---------108     =      62
      72---------46     =      63
      72---------124     =      40
      72---------37     =      68
      72---------104     =      32
      72---------88     =      65
      72---------7     =      38
      72---------97     =      48
      72---------22     =      52
      72---------0     =      29
      72---------58     =      47
      72---------1     =      54
      72---------110     =      43
      72---------11     =      77
      72---------105     =      47
      72---------122     =      56
      72---------76     =      55
      72---------27     =      53
      72---------89     =      43
      72---------119     =      54
      72---------30     =      81
      72---------107     =      58
      72---------85     =      20
      72---------21     =      40
      72---------71     =      41
      72---------67     =      56
      72---------48     =      47
      72---------42     =      59
      72---------43     =      50
      72---------99     =      68
      72---------15     =      40
      72---------2     =      32
      72---------68     =      67
      72---------114     =      31
      72---------111     =      45
      72---------82     =      5
      72---------52     =      6
      72---------118     =      75
      72---------16     =      81
      72---------32     =      55
      72---------31     =      59
      72---------57     =      28
      72---------69     =      32
      72---------96     =      34
      72---------117     =      69
      72---------106     =      58
      72---------93     =      73
      72---------60     =      32
      72---------13     =      57
      72---------56     =      40
      72---------17     =      53
      72---------84     =      63
      72---------95     =      75
      72---------61     =      51
      72---------77     =      31
      72---------109     =      43
      72---------47     =      60
      72---------4     =      60
      72---------91     =      49
      72---------83     =      76
      72---------59     =      35
      72---------87     =      41
      72---------94     =      36
      72---------55     =      49
      72---------90     =      30
      72---------35     =      54
      72---------53     =      39
      72---------123     =      50
      72---------74     =      53
      72---------81     =      42
      72---------5     =      10
      72---------86     =      65
      72---------6     =      70
      72---------115     =      65
      72---------70     =      47
      72---------8     =      26
      72---------45     =      26
      72---------98     =      71
      72---------62     =      34
      72---------19     =      45
      72---------34     =      39
      72---------41     =      50
      72---------23     =      46
      72---------78     =      62
      72---------24     =      26
      72---------36     =      44
      72---------101     =      44
      72---------54     =      35
      72---------49     =      28
      72---------14     =      38
      38---------73     =      69
      38---------26     =      11
      38---------64     =      34
      38---------28     =      64
      38---------3     =      65
      38---------40     =      27
      38---------80     =      53
      38---------44     =      83
      38---------120     =      83
      38---------79     =      102
      38---------103     =      72
      38---------121     =      28
      38---------12     =      67
      38---------63     =      34
      38---------75     =      43
      38---------9     =      85
      38---------113     =      72
      38---------10     =      45
      38---------50     =      57
      38---------100     =      58
      38---------25     =      53
      38---------39     =      16
      38---------116     =      52
      38---------20     =      33
      38---------66     =      11
      38---------72     =      22
      38---------38     =      0
      38---------51     =      28
      38---------29     =      27
      38---------92     =      29
      38---------65     =      34
      38---------102     =      27
      38---------33     =      33
